(0, 1)
(0.01, 0.96)
(0.02, 0.9216)
(0.03, 0.884736)
(0.04, 0.849347)
(0.05, 0.815373)
(0.06, 0.782758)
(0.07, 0.751447)
(0.08, 0.72139)
(0.09, 0.692534)
(0.1, 0.664833)
(0.11, 0.638239)
(0.12, 0.61271)
(0.13, 0.588201)
(0.14, 0.564673)
(0.15, 0.542086)
(0.16, 0.520403)
(0.17, 0.499587)
(0.18, 0.479603)
(0.19, 0.460419)
(0.2, 0.442002)
(0.21, 0.424322)
(0.22, 0.407349)
(0.23, 0.391055)
(0.24, 0.375413)
(0.25, 0.360397)
(0.26, 0.345981)
(0.27, 0.332142)
(0.28, 0.318856)
(0.29, 0.306102)
(0.3, 0.293858)
(0.31, 0.282103)
(0.32, 0.270819)
(0.33, 0.259986)
(0.34, 0.249587)
(0.35, 0.239603)
(0.36, 0.230019)
(0.37, 0.220819)
(0.38, 0.211986)
(0.39, 0.203506)
(0.4, 0.195366)
(0.41, 0.187552)
(0.42, 0.180049)
(0.43, 0.172847)
(0.44, 0.165934)
(0.45, 0.159296)
(0.46, 0.152924)
(0.47, 0.146807)
(0.48, 0.140935)
(0.49, 0.135298)
(0.5, 0.129886)
(0.51, 0.12469)
(0.52, 0.119703)
(0.53, 0.114915)
(0.54, 0.110318)
(0.55, 0.105905)
(0.56, 0.101669)
(0.57, 0.0976024)
(0.58, 0.0936983)
(0.59, 0.0899503)
(0.6, 0.0863523)
(0.61, 0.0828982)
(0.62, 0.0795823)
(0.63, 0.076399)
(0.64, 0.073343)
(0.65, 0.0704093)
(0.66, 0.0675929)
(0.67, 0.0648892)
(0.68, 0.0622937)
(0.69, 0.0598019)
(0.7, 0.0574098)
(0.71, 0.0551134)
(0.72, 0.0529089)
(0.73, 0.0507925)
(0.74, 0.0487608)
(0.75, 0.0468104)
(0.76, 0.044938)
(0.77, 0.0431405)
(0.78, 0.0414149)
(0.79, 0.0397583)
(0.8, 0.0381679)
(0.81, 0.0366412)
(0.82, 0.0351756)
(0.83, 0.0337685)
(0.84, 0.0324178)
(0.85, 0.0311211)
(0.86, 0.0298762)
(0.87, 0.0286812)
(0.88, 0.0275339)
(0.89, 0.0264326)
(0.9, 0.0253753)
(0.91, 0.0243603)
(0.92, 0.0233859)
(0.93, 0.0224504)
(0.94, 0.0215524)
(0.95, 0.0206903)
(0.96, 0.0198627)
(0.97, 0.0190682)
(0.98, 0.0183055)
(0.99, 0.0175732)
(1, 0.0168703)
(1.01, 0.0161955)
(1.02, 0.0155477)
(1.03, 0.0149258)
(1.04, 0.0143287)
(1.05, 0.0137556)
(1.06, 0.0132054)
(1.07, 0.0126772)
(1.08, 0.0121701)
(1.09, 0.0116833)
(1.1, 0.0112159)
(1.11, 0.0107673)
(1.12, 0.0103366)
(1.13, 0.00992314)
(1.14, 0.00952622)
(1.15, 0.00914517)
(1.16, 0.00877936)
(1.17, 0.00842819)
(1.18, 0.00809106)
(1.19, 0.00776742)
(1.2, 0.00745672)
(1.21, 0.00715845)
(1.22, 0.00687212)
(1.23, 0.00659723)
(1.24, 0.00633334)
(1.25, 0.00608001)
(1.26, 0.00583681)
(1.27, 0.00560334)
(1.28, 0.0053792)
(1.29, 0.00516403)
(1.3, 0.00495747)
(1.31, 0.00475917)
(1.32, 0.00456881)
(1.33, 0.00438605)
(1.34, 0.00421061)
(1.35, 0.00404219)
(1.36, 0.0038805)
(1.37, 0.00372528)
(1.38, 0.00357627)
(1.39, 0.00343322)
(1.4, 0.00329589)
(1.41, 0.00316405)
(1.42, 0.00303749)
(1.43, 0.00291599)
(1.44, 0.00279935)
(1.45, 0.00268738)
(1.46, 0.00257988)
(1.47, 0.00247669)
(1.48, 0.00237762)
(1.49, 0.00228252)
(1.5, 0.00219121)
(1.51, 0.00210357)
(1.52, 0.00201942)
(1.53, 0.00193865)
(1.54, 0.0018611)
(1.55, 0.00178666)
(1.56, 0.00171519)
(1.57, 0.00164658)
(1.58, 0.00158072)
(1.59, 0.00151749)
(1.6, 0.00145679)
(1.61, 0.00139852)
(1.62, 0.00134258)
(1.63, 0.00128888)
(1.64, 0.00123732)
(1.65, 0.00118783)
(1.66, 0.00114031)
(1.67, 0.0010947)
(1.68, 0.00105091)
(1.69, 0.00100888)
(1.7, 0.000968522)
(1.71, 0.000929781)
(1.72, 0.00089259)
(1.73, 0.000856887)
(1.74, 0.000822611)
(1.75, 0.000789707)
(1.76, 0.000758118)
(1.77, 0.000727794)
(1.78, 0.000698682)
(1.79, 0.000670735)
(1.8, 0.000643905)
(1.81, 0.000618149)
(1.82, 0.000593423)
(1.83, 0.000569686)
(1.84, 0.000546899)
(1.85, 0.000525023)
(1.86, 0.000504022)
(1.87, 0.000483861)
(1.88, 0.000464507)
(1.89, 0.000445926)
(1.9, 0.000428089)
(1.91, 0.000410966)
(1.92, 0.000394527)
(1.93, 0.000378746)
(1.94, 0.000363596)
(1.95, 0.000349052)
(1.96, 0.00033509)
(1.97, 0.000321687)
(1.98, 0.000308819)
(1.99, 0.000296466)
(2, 0.000284608)
(2.01, 0.000273223)
(2.02, 0.000262294)
(2.03, 0.000251803)
(2.04, 0.000241731)
(2.05, 0.000232061)
(2.06, 0.000222779)
(2.07, 0.000213868)
(2.08, 0.000205313)
(2.09, 0.0001971)
(2.1, 0.000189216)
(2.11, 0.000181648)
(2.12, 0.000174382)
(2.13, 0.000167407)
(2.14, 0.00016071)
(2.15, 0.000154282)
(2.16, 0.000148111)
(2.17, 0.000142186)
(2.18, 0.000136499)
(2.19, 0.000131039)
(2.2, 0.000125797)
(2.21, 0.000120765)
(2.22, 0.000115935)
(2.23, 0.000111297)
(2.24, 0.000106845)
(2.25, 0.000102572)
(2.26, 9.84688e-05)
(2.27, 9.45301e-05)
(2.28, 9.07489e-05)
(2.29, 8.71189e-05)
(2.3, 8.36341e-05)
(2.31, 8.02888e-05)
(2.32, 7.70772e-05)
(2.33, 7.39941e-05)
(2.34, 7.10344e-05)
(2.35, 6.8193e-05)
(2.36, 6.54653e-05)
(2.37, 6.28467e-05)
(2.38, 6.03328e-05)
(2.39, 5.79195e-05)
(2.4, 5.56027e-05)
(2.41, 5.33786e-05)
(2.42, 5.12435e-05)
(2.43, 4.91937e-05)
(2.44, 4.7226e-05)
(2.45, 4.53369e-05)
(2.46, 4.35235e-05)
(2.47, 4.17825e-05)
(2.48, 4.01112e-05)
(2.49, 3.85068e-05)
(2.5, 3.69665e-05)
(2.51, 3.54878e-05)
(2.52, 3.40683e-05)
(2.53, 3.27056e-05)
(2.54, 3.13974e-05)
(2.55, 3.01415e-05)
(2.56, 2.89358e-05)
(2.57, 2.77784e-05)
(2.58, 2.66672e-05)
